vm_id,cluster_id,host_id
vm_00211,cluster_00000,host_00010
vm_00212,cluster_00007,host_00119
vm_00213,cluster_00000,host_00000
vm_00214,cluster_00010,host_00172
vm_00215,cluster_00014,host_00232
vm_00216,cluster_00004,host_00067
vm_00217,cluster_00013,host_00218
vm_00218,cluster_00017,host_00276
vm_00219,cluster_00015,host_00245
vm_00220,cluster_00018,host_00300
vm_00221,cluster_00019,host_00307
vm_00222,cluster_00006,host_00106
vm_00223,cluster_00010,host_00164
vm_00224,cluster_00010,host_00163
vm_00225,cluster_00013,host_00208
vm_00226,cluster_00011,host_00187
vm_00227,cluster_00003,host_00059
vm_00228,cluster_00003,host_00054
vm_00229,cluster_00012,host_00193
vm_00230,cluster_00002,host_00037
vm_00231,cluster_00011,host_00188
vm_00232,cluster_00006,host_00097
vm_00233,cluster_00003,host_00053
vm_00234,cluster_00013,host_00208
vm_00235,cluster_00002,host_00047
vm_00236,cluster_00004,host_00075
vm_00237,cluster_00019,host_00304
vm_00238,cluster_00014,host_00228
vm_00239,cluster_00000,host_00002
vm_00240,cluster_00006,host_00097
vm_00241,cluster_00008,host_00137
vm_00242,cluster_00002,host_00040
vm_00243,cluster_00011,host_00176
vm_00244,cluster_00006,host_00106
vm_00245,cluster_00001,host_00021
vm_00246,cluster_00015,host_00255
vm_00247,cluster_00015,host_00244
vm_00248,cluster_00012,host_00204
vm_00249,cluster_00001,host_00018
vm_00250,cluster_00009,host_00154
vm_00251,cluster_00010,host_00164
vm_00252,cluster_00013,host_00209
vm_00253,cluster_00002,host_00034
vm_00254,cluster_00013,host_00211
vm_00255,cluster_00011,host_00189
vm_00256,cluster_00015,host_00243
vm_00257,cluster_00002,host_00033
vm_00258,cluster_00011,host_00187
vm_00259,cluster_00003,host_00056
vm_00260,cluster_00007,host_00124
vm_00261,cluster_00007,host_00116
vm_00262,cluster_00014,host_00231
vm_00263,cluster_00001,host_00020
vm_00264,cluster_00018,host_00297
vm_00265,cluster_00007,host_00122
vm_00266,cluster_00008,host_00138
vm_00267,cluster_00013,host_00218
vm_00268,cluster_00018,host_00297
vm_00269,cluster_00004,host_00065
vm_00270,cluster_00014,host_00235
vm_00271,cluster_00015,host_00243
vm_00272,cluster_00005,host_00089
vm_00273,cluster_00007,host_00116
vm_00274,cluster_00008,host_00143
vm_00275,cluster_00011,host_00183
vm_00276,cluster_00004,host_00065
vm_00277,cluster_00009,host_00151
vm_00278,cluster_00019,host_00319
vm_00279,cluster_00005,host_00082
vm_00280,cluster_00008,host_00140
vm_00281,cluster_00016,host_00271
vm_00282,cluster_00012,host_00198
vm_00283,cluster_00005,host_00089
vm_00284,cluster_00019,host_00309
vm_00285,cluster_00000,host_00006
vm_00286,cluster_00010,host_00160
vm_00287,cluster_00015,host_00242
vm_00288,cluster_00002,host_00044
vm_00289,cluster_00012,host_00205
vm_00290,cluster_00007,host_00125
vm_00291,cluster_00018,host_00298
vm_00292,cluster_00001,host_00018
vm_00293,cluster_00014,host_00238
vm_00294,cluster_00000,host_00006
vm_00295,cluster_00008,host_00135
vm_00296,cluster_00007,host_00119
vm_00297,cluster_00013,host_00222
vm_00298,cluster_00004,host_00070
vm_00299,cluster_00014,host_00239
vm_00300,cluster_00002,host_00034
vm_00301,cluster_00008,host_00141
vm_00302,cluster_00018,host_00290
vm_00303,cluster_00012,host_00207
vm_00304,cluster_00006,host_00103
vm_00305,cluster_00000,host_00000
vm_00306,cluster_00001,host_00017
vm_00307,cluster_00003,host_00049
vm_00308,cluster_00015,host_00242
vm_00309,cluster_00017,host_00277
vm_00310,cluster_00010,host_00169
vm_00311,cluster_00011,host_00176
vm_00312,cluster_00009,host_00152
vm_00313,cluster_00000,host_00005
vm_00314,cluster_00000,host_00014
vm_00315,cluster_00001,host_00017
vm_00316,cluster_00004,host_00078
vm_00317,cluster_00010,host_00174
vm_00318,cluster_00013,host_00209
vm_00319,cluster_00001,host_00023
vm_00320,cluster_00014,host_00236
vm_00321,cluster_00015,host_00255
vm_00322,cluster_00005,host_00094
vm_00323,cluster_00008,host_00141
vm_00324,cluster_00007,host_00119
vm_00325,cluster_00018,host_00301
vm_00326,cluster_00016,host_00260
vm_00327,cluster_00011,host_00182
vm_00328,cluster_00018,host_00288
vm_00329,cluster_00018,host_00298
vm_00330,cluster_00015,host_00250
vm_00331,cluster_00005,host_00085
vm_00332,cluster_00007,host_00115
vm_00333,cluster_00017,host_00277
vm_00334,cluster_00008,host_00136
vm_00335,cluster_00013,host_00214
vm_00336,cluster_00016,host_00263
vm_00337,cluster_00009,host_00155
vm_00338,cluster_00002,host_00045
vm_00339,cluster_00001,host_00022
vm_00340,cluster_00015,host_00245
vm_00341,cluster_00012,host_00198
vm_00342,cluster_00014,host_00226
vm_00343,cluster_00013,host_00211
vm_00344,cluster_00015,host_00254
vm_00345,cluster_00005,host_00095
vm_00346,cluster_00017,host_00272
vm_00347,cluster_00019,host_00311
vm_00348,cluster_00000,host_00009
vm_00349,cluster_00012,host_00205
vm_00350,cluster_00000,host_00006
vm_00351,cluster_00009,host_00159
vm_00352,cluster_00004,host_00067
vm_00353,cluster_00014,host_00239
vm_00354,cluster_00002,host_00035
vm_00355,cluster_00012,host_00193
vm_00356,cluster_00007,host_00114
vm_00357,cluster_00014,host_00231
vm_00358,cluster_00005,host_00080
vm_00359,cluster_00019,host_00311
vm_00360,cluster_00000,host_00005
vm_00361,cluster_00013,host_00213
vm_00362,cluster_00014,host_00232
vm_00363,cluster_00004,host_00079
vm_00364,cluster_00009,host_00148
vm_00365,cluster_00007,host_00117
vm_00366,cluster_00019,host_00312
vm_00367,cluster_00017,host_00280
vm_00368,cluster_00004,host_00073
vm_00369,cluster_00003,host_00048
vm_00370,cluster_00011,host_00179
vm_00371,cluster_00015,host_00241
vm_00372,cluster_00010,host_00167
vm_00373,cluster_00015,host_00244
vm_00374,cluster_00018,host_00303
vm_00375,cluster_00018,host_00302
vm_00376,cluster_00002,host_00045
vm_00377,cluster_00015,host_00251
vm_00378,cluster_00018,host_00303
vm_00379,cluster_00019,host_00318
vm_00380,cluster_00008,host_00133
vm_00381,cluster_00013,host_00211
vm_00382,cluster_00019,host_00314
vm_00383,cluster_00019,host_00318
vm_00384,cluster_00000,host_00008
vm_00385,cluster_00017,host_00278
vm_00386,cluster_00017,host_00274
vm_00387,cluster_00011,host_00177
vm_00388,cluster_00005,host_00085
vm_00389,cluster_00011,host_00180
vm_00390,cluster_00015,host_00241
vm_00391,cluster_00006,host_00099
vm_00392,cluster_00014,host_00239
vm_00393,cluster_00005,host_00095
vm_00394,cluster_00003,host_00050
vm_00395,cluster_00018,host_00289
vm_00396,cluster_00009,host_00151
vm_00397,cluster_00013,host_00218
vm_00398,cluster_00001,host_00018
vm_00399,cluster_00008,host_00130
vm_00400,cluster_00001,host_00031
vm_00401,cluster_00018,host_00300
vm_00402,cluster_00016,host_00257
vm_00403,cluster_00004,host_00077
vm_00404,cluster_00008,host_00129
vm_00405,cluster_00016,host_00258
vm_00406,cluster_00000,host_00002
vm_00407,cluster_00013,host_00217
vm_00408,cluster_00016,host_00260
vm_00409,cluster_00010,host_00171
vm_00410,cluster_00019,host_00306
vm_00411,cluster_00017,host_00281
vm_00412,cluster_00015,host_00246
vm_00413,cluster_00007,host_00123
vm_00414,cluster_00001,host_00021
vm_00415,cluster_00009,host_00156
vm_00416,cluster_00001,host_00017
vm_00417,cluster_00002,host_00047
vm_00418,cluster_00004,host_00079
vm_00419,cluster_00013,host_00214
vm_00420,cluster_00009,host_00158
vm_00421,cluster_00000,host_00011
vm_00422,cluster_00019,host_00318
vm_00423,cluster_00002,host_00034
vm_00424,cluster_00017,host_00282
vm_00425,cluster_00010,host_00175
vm_00426,cluster_00011,host_00180
vm_00427,cluster_00018,host_00303
vm_00428,cluster_00009,host_00150
vm_00429,cluster_00014,host_00233
vm_00430,cluster_00003,host_00051
vm_00431,cluster_00000,host_00011
vm_00432,cluster_00019,host_00312
vm_00433,cluster_00005,host_00088
vm_00434,cluster_00013,host_00218
vm_00435,cluster_00017,host_00280
vm_00436,cluster_00012,host_00199
vm_00437,cluster_00002,host_00047
vm_00438,cluster_00010,host_00163
vm_00439,cluster_00002,host_00042
vm_00440,cluster_00002,host_00040
vm_00441,cluster_00009,host_00147
vm_00442,cluster_00003,host_00060
vm_00443,cluster_00010,host_00163
vm_00444,cluster_00002,host_00047
vm_00445,cluster_00010,host_00170
vm_00446,cluster_00003,host_00060
vm_00447,cluster_00002,host_00033
vm_00448,cluster_00006,host_00100
vm_00449,cluster_00018,host_00289
vm_00450,cluster_00005,host_00085
vm_00451,cluster_00013,host_00222
vm_00452,cluster_00010,host_00171
vm_00453,cluster_00010,host_00174
vm_00454,cluster_00003,host_00048
vm_00455,cluster_00014,host_00227
vm_00456,cluster_00014,host_00233
vm_00457,cluster_00004,host_00066
vm_00458,cluster_00009,host_00149
vm_00459,cluster_00001,host_00028
vm_00460,cluster_00000,host_00001
vm_00461,cluster_00009,host_00158
vm_00462,cluster_00004,host_00072
vm_00463,cluster_00011,host_00180
vm_00464,cluster_00001,host_00028
vm_00465,cluster_00005,host_00093
vm_00466,cluster_00000,host_00005
vm_00467,cluster_00007,host_00115
vm_00468,cluster_00005,host_00089
vm_00469,cluster_00003,host_00050
vm_00470,cluster_00019,host_00304
vm_00471,cluster_00001,host_00016
vm_00472,cluster_00001,host_00026
vm_00473,cluster_00001,host_00018
vm_00474,cluster_00015,host_00255
vm_00475,cluster_00013,host_00221
vm_00476,cluster_00006,host_00099
vm_00477,cluster_00008,host_00141
vm_00478,cluster_00004,host_00077
vm_00479,cluster_00000,host_00009
vm_00480,cluster_00001,host_00016
vm_00481,cluster_00010,host_00165
vm_00482,cluster_00006,host_00098
vm_00483,cluster_00010,host_00172
vm_00484,cluster_00013,host_00215
vm_00485,cluster_00011,host_00186
vm_00486,cluster_00013,host_00212
vm_00487,cluster_00014,host_00239
vm_00488,cluster_00001,host_00022
vm_00489,cluster_00008,host_00131
vm_00490,cluster_00012,host_00202
vm_00491,cluster_00002,host_00046
vm_00492,cluster_00013,host_00217
vm_00493,cluster_00006,host_00108
vm_00494,cluster_00002,host_00034
vm_00495,cluster_00017,host_00272
vm_00496,cluster_00014,host_00231
vm_00497,cluster_00004,host_00071
vm_00498,cluster_00008,host_00131
vm_00499,cluster_00008,host_00131
vm_00500,cluster_00011,host_00178
vm_00501,cluster_00018,host_00294
vm_00502,cluster_00016,host_00263
vm_00503,cluster_00014,host_00230
vm_00504,cluster_00006,host_00101
vm_00505,cluster_00001,host_00028
vm_00506,cluster_00018,host_00300
vm_00507,cluster_00001,host_00019
vm_00508,cluster_00014,host_00226
vm_00509,cluster_00010,host_00175
vm_00510,cluster_00003,host_00060
vm_00511,cluster_00010,host_00173
vm_00512,cluster_00016,host_00263
vm_00513,cluster_00008,host_00136
vm_00514,cluster_00002,host_00047
vm_00515,cluster_00014,host_00238
vm_00516,cluster_00013,host_00217
vm_00517,cluster_00005,host_00084
vm_00518,cluster_00002,host_00043
vm_00519,cluster_00019,host_00311
vm_00520,cluster_00010,host_00175
vm_00521,cluster_00003,host_00056
vm_00522,cluster_00010,host_00166
vm_00523,cluster_00017,host_00281
vm_00524,cluster_00016,host_00261
vm_00525,cluster_00008,host_00129
vm_00526,cluster_00016,host_00262
vm_00527,cluster_00019,host_00317
vm_00528,cluster_00010,host_00175
vm_00529,cluster_00013,host_00219
vm_00530,cluster_00002,host_00047
vm_00531,cluster_00007,host_00127
vm_00532,cluster_00017,host_00276
vm_00533,cluster_00004,host_00072
vm_00534,cluster_00011,host_00189
vm_00535,cluster_00008,host_00140
vm_00536,cluster_00002,host_00035
vm_00537,cluster_00008,host_00131
vm_00538,cluster_00006,host_00104
vm_00539,cluster_00002,host_00041
vm_00540,cluster_00002,host_00046
vm_00541,cluster_00018,host_00302
vm_00542,cluster_00004,host_00065
vm_00543,cluster_00015,host_00244
vm_00544,cluster_00013,host_00215
vm_00545,cluster_00003,host_00061
vm_00546,cluster_00016,host_00258
vm_00547,cluster_00004,host_00065
vm_00548,cluster_00003,host_00062
vm_00549,cluster_00005,host_00087
vm_00550,cluster_00015,host_00246
vm_00551,cluster_00011,host_00186
vm_00552,cluster_00015,host_00244
vm_00553,cluster_00009,host_00159
vm_00554,cluster_00015,host_00252
vm_00555,cluster_00011,host_00189
vm_00556,cluster_00019,host_00305
vm_00557,cluster_00015,host_00247
vm_00558,cluster_00002,host_00033
vm_00559,cluster_00005,host_00091
vm_00560,cluster_00009,host_00158
vm_00561,cluster_00011,host_00188
vm_00562,cluster_00000,host_00012
vm_00563,cluster_00001,host_00027
vm_00564,cluster_00018,host_00293
vm_00565,cluster_00013,host_00215
vm_00566,cluster_00005,host_00090
vm_00567,cluster_00007,host_00123
vm_00568,cluster_00004,host_00064
vm_00569,cluster_00002,host_00036
vm_00570,cluster_00016,host_00257
vm_00571,cluster_00000,host_00008
vm_00572,cluster_00009,host_00151
vm_00573,cluster_00004,host_00072
vm_00574,cluster_00019,host_00305
vm_00575,cluster_00018,host_00293
vm_00576,cluster_00014,host_00228
vm_00577,cluster_00014,host_00230
vm_00578,cluster_00018,host_00292
vm_00579,cluster_00012,host_00203
vm_00580,cluster_00014,host_00235
vm_00581,cluster_00013,host_00220
vm_00582,cluster_00011,host_00185
vm_00583,cluster_00012,host_00196
vm_00584,cluster_00007,host_00119
vm_00585,cluster_00017,host_00279
vm_00586,cluster_00006,host_00111
vm_00587,cluster_00000,host_00004
vm_00588,cluster_00012,host_00194
vm_00589,cluster_00009,host_00148
vm_00590,cluster_00012,host_00192
vm_00591,cluster_00018,host_00293
vm_00592,cluster_00004,host_00073
vm_00593,cluster_00008,host_00143
vm_00594,cluster_00018,host_00289
vm_00595,cluster_00013,host_00209
vm_00596,cluster_00012,host_00192
vm_00597,cluster_00004,host_00077
vm_00598,cluster_00008,host_00129
vm_00599,cluster_00018,host_00303
vm_00600,cluster_00010,host_00169
vm_00601,cluster_00008,host_00133
vm_00602,cluster_00005,host_00092
vm_00603,cluster_00004,host_00066
vm_00604,cluster_00003,host_00062
vm_00605,cluster_00004,host_00077
vm_00606,cluster_00014,host_00226
vm_00607,cluster_00016,host_00271
vm_00608,cluster_00004,host_00069
vm_00609,cluster_00004,host_00072
vm_00610,cluster_00013,host_00222
vm_00611,cluster_00017,host_00285
vm_00612,cluster_00018,host_00288
vm_00613,cluster_00012,host_00197
vm_00614,cluster_00002,host_00041
vm_00615,cluster_00015,host_00247
vm_00616,cluster_00004,host_00069
vm_00617,cluster_00006,host_00100
vm_00618,cluster_00002,host_00046
vm_00619,cluster_00006,host_00110
vm_00620,cluster_00000,host_00007
vm_00621,cluster_00008,host_00135
vm_00622,cluster_00006,host_00104
vm_00623,cluster_00003,host_00061
vm_00624,cluster_00007,host_00117
vm_00625,cluster_00008,host_00138
vm_00626,cluster_00017,host_00279
vm_00627,cluster_00000,host_00007
vm_00628,cluster_00015,host_00255
vm_00629,cluster_00005,host_00083
vm_00630,cluster_00011,host_00189
vm_00631,cluster_00012,host_00205
vm_00632,cluster_00004,host_00064
vm_00633,cluster_00001,host_00029
vm_00634,cluster_00004,host_00065
vm_00635,cluster_00009,host_00156
vm_00636,cluster_00010,host_00174
vm_00637,cluster_00004,host_00069
vm_00638,cluster_00005,host_00091
vm_00639,cluster_00011,host_00188
vm_00640,cluster_00006,host_00103
vm_00641,cluster_00013,host_00221
vm_00642,cluster_00014,host_00230
vm_00643,cluster_00015,host_00241
vm_00644,cluster_00016,host_00268
vm_00645,cluster_00004,host_00064
vm_00646,cluster_00015,host_00252
vm_00647,cluster_00015,host_00253
vm_00648,cluster_00004,host_00072
vm_00649,cluster_00009,host_00148
vm_00650,cluster_00015,host_00250
vm_00651,cluster_00005,host_00087
vm_00652,cluster_00014,host_00239
vm_00653,cluster_00019,host_00308
vm_00654,cluster_00002,host_00037
vm_00655,cluster_00012,host_00202
vm_00656,cluster_00007,host_00127
vm_00657,cluster_00012,host_00192
vm_00658,cluster_00005,host_00087
vm_00659,cluster_00005,host_00084
vm_00660,cluster_00007,host_00125
vm_00661,cluster_00007,host_00114
vm_00662,cluster_00004,host_00070
vm_00663,cluster_00005,host_00095
vm_00664,cluster_00005,host_00083
vm_00665,cluster_00013,host_00222
vm_00666,cluster_00005,host_00088
vm_00667,cluster_00011,host_00189
vm_00668,cluster_00011,host_00189
vm_00669,cluster_00014,host_00230
vm_00670,cluster_00008,host_00139
vm_00671,cluster_00014,host_00231
vm_00672,cluster_00003,host_00051
vm_00673,cluster_00007,host_00127
vm_00674,cluster_00011,host_00190
vm_00675,cluster_00006,host_00107
vm_00676,cluster_00016,host_00256
vm_00677,cluster_00005,host_00092
vm_00678,cluster_00012,host_00192
vm_00679,cluster_00008,host_00128
vm_00680,cluster_00016,host_00257
vm_00681,cluster_00018,host_00299
vm_00682,cluster_00018,host_00303
vm_00683,cluster_00018,host_00303
vm_00684,cluster_00017,host_00281
vm_00685,cluster_00004,host_00070
vm_00686,cluster_00003,host_00050
vm_00687,cluster_00014,host_00224
vm_00688,cluster_00009,host_00152
vm_00689,cluster_00011,host_00177
vm_00690,cluster_00006,host_00109
vm_00691,cluster_00006,host_00101
vm_00692,cluster_00019,host_00310
vm_00693,cluster_00013,host_00208
vm_00694,cluster_00002,host_00044
vm_00695,cluster_00012,host_00205
vm_00696,cluster_00006,host_00110
vm_00697,cluster_00006,host_00110
vm_00698,cluster_00012,host_00196
vm_00699,cluster_00015,host_00249
vm_00700,cluster_00011,host_00179
vm_00701,cluster_00018,host_00300
vm_00702,cluster_00013,host_00209
vm_00703,cluster_00010,host_00163
vm_00704,cluster_00006,host_00106
vm_00705,cluster_00003,host_00057
vm_00706,cluster_00013,host_00223
vm_00707,cluster_00018,host_00295
vm_00708,cluster_00001,host_00016
vm_00709,cluster_00015,host_00250
vm_00710,cluster_00006,host_00110
vm_00711,cluster_00008,host_00132
vm_00712,cluster_00004,host_00071
vm_00713,cluster_00010,host_00163
vm_00714,cluster_00006,host_00103
vm_00715,cluster_00019,host_00304
vm_00716,cluster_00012,host_00195
vm_00717,cluster_00005,host_00080
vm_00718,cluster_00011,host_00183
vm_00719,cluster_00006,host_00104
vm_00720,cluster_00005,host_00082
vm_00721,cluster_00014,host_00236
vm_00722,cluster_00014,host_00239
vm_00723,cluster_00005,host_00087
vm_00724,cluster_00000,host_00005
vm_00725,cluster_00003,host_00061
vm_00726,cluster_00014,host_00238
vm_00727,cluster_00004,host_00078
vm_00728,cluster_00010,host_00171
vm_00729,cluster_00016,host_00261
vm_00730,cluster_00016,host_00270
vm_00731,cluster_00008,host_00132
vm_00732,cluster_00019,host_00315
vm_00733,cluster_00006,host_00108
vm_00734,cluster_00015,host_00250
vm_00735,cluster_00017,host_00284
vm_00736,cluster_00013,host_00219
vm_00737,cluster_00008,host_00131
vm_00738,cluster_00008,host_00139
vm_00739,cluster_00010,host_00174
vm_00740,cluster_00019,host_00318
vm_00741,cluster_00001,host_00016
vm_00742,cluster_00011,host_00187
vm_00743,cluster_00016,host_00258
vm_00744,cluster_00001,host_00022
vm_00745,cluster_00018,host_00294
vm_00746,cluster_00006,host_00104
vm_00747,cluster_00006,host_00109
vm_00748,cluster_00010,host_00168
vm_00749,cluster_00018,host_00301
vm_00750,cluster_00014,host_00236
vm_00751,cluster_00015,host_00245
vm_00752,cluster_00005,host_00093
vm_00753,cluster_00003,host_00049
vm_00754,cluster_00017,host_00276
vm_00755,cluster_00008,host_00131
vm_00756,cluster_00019,host_00312
vm_00757,cluster_00017,host_00286
vm_00758,cluster_00009,host_00159
vm_00759,cluster_00012,host_00207
vm_00760,cluster_00000,host_00000
vm_00761,cluster_00008,host_00140
vm_00762,cluster_00000,host_00007
vm_00763,cluster_00015,host_00253
vm_00764,cluster_00008,host_00140
vm_00765,cluster_00013,host_00215
vm_00766,cluster_00015,host_00252
vm_00767,cluster_00001,host_00018
vm_00768,cluster_00009,host_00150
vm_00769,cluster_00006,host_00096
vm_00770,cluster_00011,host_00191
vm_00771,cluster_00010,host_00172
vm_00772,cluster_00019,host_00309
vm_00773,cluster_00015,host_00240
vm_00774,cluster_00015,host_00244
vm_00775,cluster_00001,host_00018
